g_name;population_size;number_of_edges;beta;innovators_perc;centrism;conformism;modularity;m_barabasi;p_rew_erdos;recommender;rewiring;s;max_time;misinformation;epsilon;n_experiments;mu;delta;time;converged;tot_rewiring;simulation_seed;opinion_seed;graph_seed;avg_op0;avg_opf;ndi0;ndif;stdv0;stdvf;clust0;clustf;BC0;BCf;neigh_corr0;neigh_corrf;num_peaks0;num_peaksf;rwc0;rwcf;strongly_cc0;strongly_ccf;propro;prono;nono;nopro;other
fortunato;400;4893;0.0;0.51;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1115;80;78;79;0.5337771057497003;0.5261312687690315;0.3053894127516031;0.20789384847091041;115.46969299344309;115.46969299344309;0.3764172172532071;0.5188076246019873;0.5398236651998944;0.7929226106074027;0.03023556734750905;0.2678237108818688;2;2;0.2836724159725095;0.3221487972097885;1;3;2042527;117;2075102;118;1882136
fortunato;400;4858;0.0;0.5225;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1125;8;6;7;0.5089093060569375;0.5128498998722698;0.3020612599825211;0.17119967783170964;115.46969299344309;115.46969299344309;0.3802305511965605;0.5345785991962516;0.49313828142307886;0.6859005761528296;0.08128656273443496;0.31116623330043414;2;2;0.29571670482862267;0.36160328866488983;1;1;3169872;541;1185022;479;1644086
fortunato;400;5251;0.0;0.495;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;657;56;54;55;0.47036915208047114;0.4638619012606045;0.3227523352228102;0.21869370118551906;115.46969299344309;115.46969299344309;0.2949104747989699;0.4139303933799839;0.5527596174767917;0.8168190660755088;0.04221524448950571;0.14472987775971513;2;3;0.29160982948606323;0.34946727214267337;1;1;2311087;196;1758837;175;1929705
fortunato;400;5190;0.0;0.47;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;605;128;126;127;0.4702348616930101;0.4844351563373253;0.3154528393658082;0.22325732591259903;115.46969299344309;115.46969299344309;0.3106314732275611;0.43046898804665057;0.5308944249673275;0.9035853920293818;0.012669453971750053;0.2339060819620551;2;2;0.3292070581126373;0.4049270073722422;1;1;2080207;129;2049929;136;1869599
fortunato;400;4884;0.0;0.4625;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;832;74;72;73;0.4862614045096172;0.49507001764984343;0.31489022721073706;0.19411447435134732;115.46969299344309;115.46969299344309;0.362871522784639;0.4994579447068457;0.5496242414891077;0.8579300109970095;0.21300460262966212;0.27814622195919614;2;2;0.3467331810552567;0.3971107856333625;1;1;1850273;400;2316408;337;1832582
fortunato;400;5143;0.0;0.5;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;808;26;24;25;0.4792162367214445;0.49702471890011884;0.3664836278389713;0.26802468580941147;115.46969299344309;115.46969299344309;0.3113754087034197;0.429841424626691;0.5778246679817256;0.9408102068906556;-0.05895062026924536;0.2653670479900248;2;2;0.2750735216143224;0.4116214794988588;1;1;2167613;248;1953708;240;1878191
fortunato;400;5082;0.0;0.4775;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1065;62;60;61;0.4886608672777602;0.5045781322122173;0.2988403481680985;0.2088659725540953;115.46969299344309;115.46969299344309;0.4157814048518592;0.5678321325466914;0.5565100428758196;0.7728172088887252;0.10779565931443776;0.19727999716546085;3;3;0.29086963844595815;0.3115983335301428;1;1;1582434;246;2514669;244;1902407
fortunato;400;5028;0.0;0.52;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;944;134;132;133;0.49975970533764896;0.49175870898009877;0.3142591039808013;0.2190694670599223;115.46969299344309;115.46969299344309;0.3373353340214322;0.46789863852388647;0.5496675981980236;0.5839404496386509;0.143402810188167;0.263811010418259;3;3;0.2781143637163537;0.40372293301085327;1;1;2538287;2791;1390682;3219;2065021
fortunato;400;4925;0.0;0.4875;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1109;140;138;139;0.48484743830278987;0.481471663103075;0.3306136063355649;0.2082049764933714;115.46969299344309;115.46969299344309;0.44756881100652757;0.5875494391433317;0.5743319521945713;0.9178894257342665;0.10562733114094452;0.3509696424612786;3;2;0.2666151919036126;0.3331823223221225;1;1;2342294;286;1961983;315;1695122
fortunato;400;5618;0.0;0.495;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;860;116;114;115;0.5187395309753354;0.511070375781861;0.2879004733130235;0.15093714152819668;115.46969299344309;115.46969299344309;0.378449324360202;0.5004946072238787;0.5162983134141449;0.7370003498111587;0.1285775349143427;0.3861821616806891;2;3;0.31857027195323584;0.40260634669775563;1;1;1578222;518;2841938;508;1578814
fortunato;400;4765;0.0;0.5225;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;914;68;66;67;0.504945005038921;0.5006161073894604;0.31224424726170324;0.21268616604329257;115.46969299344309;115.46969299344309;0.36873180446403914;0.5032623089735927;0.5122868239155979;0.7180719017075557;0.08290943017655417;0.19546009826351363;3;3;0.305267429023436;0.37963373871680794;1;1;2420094;494;1630973;377;1948062
